ordreExecution;description;typePeriode;source_name;source_indicatorName;source_indicatorId;source_dataElementName;source_dataElementId;source_categorieComboName;source_categorieComboId;source_categorieComboOptionName;source_categorieComboOptionId;source_orgUnitName;source_orgUnitId;source_orgUnitGroupName;source_orgUnitGroupId;source_orgUnitOfProgramName;source_orgUnitOfProgramId;source_orgUnitOfDataSetName;source_orgUnitOfDataSetId;destination_name;destination_dataElementName;destination_dataElementId;destination_categorieComboName;destination_categorieComboId;destination_categorieComboOptionName;destination_categorieComboOptionId;destination_orgUnitName;destination_orgUnitId;destination_orgUnitGroupName;destination_orgUnitGroupId;destination_orgUnitOfProgramName;destination_orgUnitOfProgramId;destination_orgUnitOfDataSetName;destination_orgUnitOfDataSetId
2;MAJ initial;QUOTIDIEN;SBE_ENVIRONNEMENT;Environ_Evenement 9_ Deux (02) personnes ou plus issues du même milieu, présentant les mêmes signes nécessitants qu’elles soient alitées ou hospitalisées;uAmcAWPjDYy;;;;;;;;;;;Formulaire de surveillance sanitaire faune;Kt2NmJ9Kxqe;;;ONEHEALTH;Environ_Evenement 9_ Deux (02) personnes ou plus issues du même milieu, présentant les mêmes signes nécessitants qu’elles soient alitées ou hospitalisées;uAmcAWPjDYy;;;;;;;;;;;;
3;MAJ initial;QUOTIDIEN;SBE_ENVIRONNEMENT;Environ_Nombre de cas suspects de grippe aviaire;KlnN3V2UivV;;;;;;;;;;;Formulaire de surveillance sanitaire faune;Kt2NmJ9Kxqe;;;ONEHEALTH;Environ_Nombre de cas suspects de grippe aviaire;lZoFW8BXHtQ;;;;;;;;;;;;
3;MAJ initial;QUOTIDIEN;SBE_ENVIRONNEMENT;Environ_Nombre de cas suspects d'anthrax;OJl9Vsj8DlF;;;;;;;;;;;Formulaire de surveillance sanitaire faune;Kt2NmJ9Kxqe;;;ONEHEALTH;Environ_Nombre de cas suspects d'anthrax;ot7N3pg4l0M;;;;;;;;;;;;
3;MAJ initial;QUOTIDIEN;SBE_ENVIRONNEMENT;Environ_Nombre de cas suspects de rage;OryXiVYBRTZ;;;;;;;;;;;Formulaire de surveillance sanitaire faune;Kt2NmJ9Kxqe;;;ONEHEALTH;Environ_Nombre de cas suspects de rage;di6SZWXWzlO;;;;;;;;;;;;
4;MAJ initial;QUOTIDIEN;MS_SURVEILLANCE;Sante_Evènement 1: Une personne ou plus atteintes de fièvre et de toux sévère (absentéisme ou hospitalisation);bZXKmZWY36z;;;;;;;;;;;Formulaire individuelle de notification DPSP;bQnqTzVFE0R;;;ONEHEALTH;Sante_Evenement 1_ Une (01) personne ou plus atteintes de fièvre et de toux sévère (absentéisme ou hospitalisation);AdfkjXtSRhl;;;;;;;;;;;;
4;MAJ initial;QUOTIDIEN;MS_SURVEILLANCE;Sante_Evènement 10: Décès ou maladies inexpliqués de plusieurs personnes d’une même concession ou d’une même communauté suite à la consommation d’aliments;hXxPkYHg1rS;;;;;;;;;;;Formulaire individuelle de notification DPSP;bQnqTzVFE0R;;;ONEHEALTH;Sante_Evenement 10_ Décès ou maladies inexpliqués de plusieurs personnes d’une même concession ou d’une même communauté suite à la consommation d’aliments;ioQGibXyUGq;;;;;;;;;;;;
4;MAJ initial;QUOTIDIEN;MS_SURVEILLANCE;Sante_Evènement 11: La mort de plusieurs animaux, oiseaux et poissons quelques heures après consommation d’herbe et d’eau très proche d’un lieu de jardinage congénitales;FY1MxXvWhQV;;;;;;;;;;;Formulaire individuelle de notification DPSP;bQnqTzVFE0R;;;ONEHEALTH;Sante_Evenement 11_ La mort de plusieurs animaux, oiseaux et poissons quelques heures après consommation d’herbe et d’eau très proche d’un lieu de jardinage congénitales;On07r7yIQa7;;;;;;;;;;;;
4;MAJ initial;QUOTIDIEN;MS_SURVEILLANCE;Sante_Evènement 12: Toute évènement sanitaire créant une inquiétude ou une psychose dans la communauté;GqwlK1AfwGa;;;;;;;;;;;Formulaire individuelle de notification DPSP;bQnqTzVFE0R;;;ONEHEALTH;Sante_Evenement 12_ Tout évènement sanitaire créant une inquiétude ou une psychose dans la communauté;p9OXzUNnpBv;;;;;;;;;;;;
4;MAJ initial;QUOTIDIEN;MS_SURVEILLANCE;Sante_Evènement 2: Le Décès ou maladie d’une personne moins d’une semaine après son arrivée d’un voyage hors du pays ou à l’intérieur du pays;zN7XpDOmxHQ;;;;;;;;;;;Formulaire individuelle de notification DPSP;bQnqTzVFE0R;;;ONEHEALTH;Sante_Evenement 2_ Le décès ou maladie d’une personne moins d’une semaine après son arrivée d’un voyage hors du pays ou à l’intérieur du pays;ZBBIsXAdptE;;;;;;;;;;;;
4;MAJ initial;QUOTIDIEN;MS_SURVEILLANCE;Sante_Evènement 3: Un ou plusieurs décès survenus dans le village causés par une infection respiratoire chez les personnes qui ont des contacts avec des animaux ou pas;KsMtVJffttV;;;;;;;;;;;Formulaire individuelle de notification DPSP;bQnqTzVFE0R;;;ONEHEALTH;Sante_Evenement 3_ Un (01) ou plusieurs décès survenus dans le village causés par une infection respiratoire chez les personnes qui ont des contacts avec des animaux ou pas;YLMrTcjNEBE;;;;;;;;;;;;
4;MAJ initial;QUOTIDIEN;MS_SURVEILLANCE;Sante_Evènement 4: Toute condition médicale atypique du fait de sa fréquence et/ou de sa présentation clinique, y compris les malformations congénitales et les faiblesses musculaires chez des enfants;hPHGtnsxWdM;;;;;;;;;;;Formulaire individuelle de notification DPSP;bQnqTzVFE0R;;;ONEHEALTH;Sante_Evenement 4_ Toute condition médicale atypique du fait de sa fréquence et/ou de sa présentation clinique, y compris les malformations congénitales et les faiblesses musculaires chez des enfants;PESojgv0ZGJ;;;;;;;;;;;;
4;MAJ initial;QUOTIDIEN;MS_SURVEILLANCE;Sante_Evènement 5: Décès inexpliqué d’un agent de la santé, des ressources animales, de l’environnement, de l’agriculture, d’un ASBC/VVV/ Ecogardes / Pisteurs, D tradipraticien de santé/animateur endogène;rmbeRH2x3M9;;;;;;;;;;;Formulaire individuelle de notification DPSP;bQnqTzVFE0R;;;ONEHEALTH;Sante_Evenement 5_ Décès inexpliqué d’un agent de la santé, des ressources animales, de l’environnement, de l’agriculture, d’un ASBC/VVV/ Ecogardes / Pisteurs, d’un tradipraticien de santé/animateur endogène;KSWpfAJtfqj;;;;;;;;;;;;
4;MAJ initial;QUOTIDIEN;MS_SURVEILLANCE;Sante_Evènement 6: Deux décès inexpliqués ou plus dans la même semaine, parmi un groupe de personnes;rlJKLcEABBA;;;;;;;;;;;Formulaire individuelle de notification DPSP;bQnqTzVFE0R;;;ONEHEALTH;Sante_Evenement 6_ Deux (02) décès inexpliqués ou plus dans la même semaine, parmi un groupe de personnes;MTtAut6ojsj;;;;;;;;;;;;
4;MAJ initial;QUOTIDIEN;MS_SURVEILLANCE;Sante_Evènement 7: Deux ou plusieurs personnes deviennent malades après avoir pris part aux funérailles, mariages, baptêmes ou tout autre regroupement;qrl8F1bzMyy;;;;;;;;;;;Formulaire individuelle de notification DPSP;bQnqTzVFE0R;;;ONEHEALTH;Sante_Evenement 7_ Deux (02) ou plusieurs personnes deviennent malades après avoir pris part aux funérailles, mariages, baptêmes ou tout autre regroupement;oYtS0HXoIEK;;;;;;;;;;;;
4;MAJ initial;QUOTIDIEN;MS_SURVEILLANCE;Sante_Evènement 8: La mort de plusieurs volailles et/ou autres animaux dans le même village/Aire faunique et dans la même semaine ou maladie de plusieurs animaux de retour de transhumance;sL5T897kdXb;;;;;;;;;;;Formulaire individuelle de notification DPSP;bQnqTzVFE0R;;;ONEHEALTH;Sante_Evenement 8_ La mort de plusieurs volailles et/ou autres animaux dans le même village/Aire faunique et dans la même semaine ou maladie de plusieurs animaux de retour de transhumance;IsvAi5IFlBI;;;;;;;;;;;;
4;MAJ initial;QUOTIDIEN;MS_SURVEILLANCE;Sante_Evènement 9: Deux personnes ou plus issues du même milieu, présentant les mêmes signes nécessitants qu’elles soient alitées ou hospitalisées;gF0gGPlzpsk;;;;;;;;;;;Formulaire individuelle de notification DPSP;bQnqTzVFE0R;;;ONEHEALTH;Sante_Evenement 9_ Deux (02) personnes ou plus issues du même milieu, présentant les mêmes signes nécessitants qu’elles soient alitées ou hospitalisées;M5i2arjB8WP;;;;;;;;;;;;
4;MAJ initial;QUOTIDIEN;MS_SURVEILLANCE;Sante_Nombre de cas  de rage confirmé;DkV81N4gGdw;;;;;;;;;;;Formulaire individuelle de notification DPSP;bQnqTzVFE0R;;;ONEHEALTH;Sante_Nombre de cas  de rage confirmé;bwrj0DjKahK;;;;;;;;;;;;
4;MAJ initial;QUOTIDIEN;MS_SURVEILLANCE;Sante_Nombre de cas suspect de brucellose notifié;GV8SpkBVAAA;;;;;;;;;;;Formulaire individuelle de notification DPSP;bQnqTzVFE0R;;;ONEHEALTH;Sante_Nombre de cas suspect de brucellose notifié;rnsBYoFg3yR;;;;;;;;;;;;
4;MAJ initial;QUOTIDIEN;MS_SURVEILLANCE;Sante_Nombre de cas suspect de charbon notifiés;N3ut3x6gHAu;;;;;;;;;;;Formulaire individuelle de notification DPSP;bQnqTzVFE0R;;;ONEHEALTH;Sante_Nombre de cas suspect de charbon notifiés;yxrS8t4nNUV;;;;;;;;;;;;
4;MAJ initial;QUOTIDIEN;MS_SURVEILLANCE;Sante_Nombre de cas de dengue confirmé;cJBhUynSGn8;;;;;;;;;;;Formulaire individuelle de notification DPSP;bQnqTzVFE0R;;;ONEHEALTH;Sante_Nombre de cas de dengue confirmé;TEeF2XO19Kk;;;;;;;;;;;;
4;MAJ initial;QUOTIDIEN;MS_SURVEILLANCE;Sante_Nombre de cas  de brucellose confirmé;etN1ah198b4;;;;;;;;;;;Formulaire individuelle de notification DPSP;bQnqTzVFE0R;;;ONEHEALTH;Sante_Nombre de cas  de brucellose confirmé;dslEaRj3rBP;;;;;;;;;;;;
4;MAJ initial;QUOTIDIEN;MS_SURVEILLANCE;Sante_Nombre de cas suspect de rage notifiés;k9pSOH9mJbM;;;;;;;;;;;Formulaire individuelle de notification DPSP;bQnqTzVFE0R;;;ONEHEALTH;Sante_Nombre de cas suspect de rage notifiés;kkrG2VLhvta;;;;;;;;;;;;
4;MAJ initial;QUOTIDIEN;MS_SURVEILLANCE;Sante_Nombre de cas de charbon confirmé;rwxzjCDn95T;;;;;;;;;;;Formulaire individuelle de notification DPSP;bQnqTzVFE0R;;;ONEHEALTH;Sante_Nombre de cas de charbon confirmé;VCjCYwiKu7T;;;;;;;;;;;;
4;MAJ initial;QUOTIDIEN;MS_SURVEILLANCE;Sante_Nombre de cas suspect de dengue notifiés;tAOhJAQtno8;;;;;;;;;;;Formulaire individuelle de notification DPSP;bQnqTzVFE0R;;;ONEHEALTH;Sante_Nombre de cas suspect de dengue notifiés;HE2LzP296Rm;;;;;;;;;;;;
5;MAJ initial;QUOTIDIEN;RESUREPMRAH;old_Elevage_Evènement 6_un ou plusieurs décès causés par une infection respiratoire chez les personnes qui ont des contacts avec des animaux;pkTZX7v6CkL;;;;;;;;;;;Formulaire de notification de maladie;TdsU2XfEig0;;;ONEHEALTH;old_Elevage_Evènement 6_un ou plusieurs décès causés par une infection respiratoire chez les personnes qui ont des contacts avec des animaux;pkTZX7v6CkL;;;;;;;;;;;;
5;MAJ initial;QUOTIDIEN;RESUREPMRAH;old_Elevage_Evènement 4 _Deux ou plusieurs personnes deviennent malades après avoir pris part aux funérailles;Dar1VTeuQC5;;;;;;;;;;;Formulaire de notification de maladie;TdsU2XfEig0;;;ONEHEALTH;old_Elevage_Evènement 4 _Deux ou plusieurs personnes deviennent malades après avoir pris part aux funérailles;Dar1VTeuQC5;;;;;;;;;;;;
5;MAJ initial;QUOTIDIEN;RESUREPMRAH;old_Elevage_Evenement 7_Deux personnes ou plus atteintes de fièvre et de toux sévère dans la même école, la même famille ou le même milieu dans la même semaine (absentéisme ou hospitalisation);yiNzYqg8QYv;;;;;;;;;;;Formulaire de notification de maladie;TdsU2XfEig0;;;ONEHEALTH;old_Elevage_Evenement 7_Deux personnes ou plus atteintes de fièvre et de toux sévère dans la même école, la même famille ou le même milieu dans la même semaine (absentéisme ou hospitalisation);yiNzYqg8QYv;;;;;;;;;;;;
5;MAJ initial;QUOTIDIEN;RESUREPMRAH;old_Elevage_Evènement 8_Deux personnes ou plus issues du même milieu, présentant les mêmes signes nécessitant qu’elles soient alitées ou hospitalisées;BFWb943XvDc;;;;;;;;;;;Formulaire de notification de maladie;TdsU2XfEig0;;;ONEHEALTH;old_Elevage_Evènement 8_Deux personnes ou plus issues du même milieu, présentant les mêmes signes nécessitant qu’elles soient alitées ou hospitalisées;BFWb943XvDc;;;;;;;;;;;;
5;MAJ initial;QUOTIDIEN;RESUREPMRAH;old_Elevage_Evènement 2_Deux décès inexpliqués ou plus dans la même semaine parmi un groupe de personnes;a5nZOprgLHE;;;;;;;;;;;Formulaire de notification de maladie;TdsU2XfEig0;;;ONEHEALTH;old_Elevage_Evènement 2_Deux décès inexpliqués ou plus dans la même semaine parmi un groupe de personnes;a5nZOprgLHE;;;;;;;;;;;;
5;MAJ initial;QUOTIDIEN;RESUREPMRAH;old_Elevage_Evènement 1_Décès inexpliqué d’un agent de la santé, des  ressources animales de l’environnement, d’un ASBC/VVV/Ecogardes/Pisteurs ou d’un tradipraticien de santé;w8aDNWjUbh9;;;;;;;;;;;Formulaire de notification de maladie;TdsU2XfEig0;;;ONEHEALTH;old_Elevage_Evènement 1_Décès inexpliqué d’un agent de la santé, des  ressources animales de l’environnement, d’un ASBC/VVV/Ecogardes/Pisteurs ou d’un tradipraticien de santé;w8aDNWjUbh9;;;;;;;;;;;;
5;MAJ initial;QUOTIDIEN;RESUREPMRAH;old_Elevage_Evènement 7_Nombre de décès ou maladie d’une personne moins d’une semaine après son arrivée d’un voyage hors du pays;AbBQuHIpigU;;;;;;;;;;;Formulaire de notification de maladie;TdsU2XfEig0;;;ONEHEALTH;old_Elevage_Evènement 7_Nombre de décès ou maladie d’une personne moins d’une semaine après son arrivée d’un voyage hors du pays;AbBQuHIpigU;;;;;;;;;;;;
5;MAJ initial;QUOTIDIEN;RESUREPMRAH;old_Elevage_Evènement 9_Toute condition médicale atypique par sa fréquence et/ou sa présentation clinique, y compris les malformations congénitales;WplU8YpfWS7;;;;;;;;;;;Formulaire de notification de maladie;TdsU2XfEig0;;;ONEHEALTH;old_Elevage_Evènement 9_Toute condition médicale atypique par sa fréquence et/ou sa présentation clinique, y compris les malformations congénitales;WplU8YpfWS7;;;;;;;;;;;;
5;MAJ initial;QUOTIDIEN;RESUREPMRAH;old_Elevage_Evènement 10_Tout évènement sanitaire créant une inquiétude ou une psychose dans la communauté;quWXKhoxsDN;;;;;;;;;;;Formulaire de notification de maladie;TdsU2XfEig0;;;ONEHEALTH;old_Elevage_Evènement 10_Tout évènement sanitaire créant une inquiétude ou une psychose dans la communauté;quWXKhoxsDN;;;;;;;;;;;;
5;MAJ initial;QUOTIDIEN;RESUREPMRAH;old_Elevage_Evènement 5_Mort de plusieurs volailles et/ou autres animaux dans la même village/Aire faunique et dans le même semaine ou maladie  de plusieurs animaux de retour de transhumance;S18tASCtPVA;;;;;;;;;;;Formulaire de notification de maladie;TdsU2XfEig0;;;ONEHEALTH;old_Elevage_Evènement 5_Mort de plusieurs volailles et/ou autres animaux dans la même village/Aire faunique et dans le même semaine ou maladie  de plusieurs animaux de retour de transhumance;S18tASCtPVA;;;;;;;;;;;;
5;MAJ initial;QUOTIDIEN;RESUREPMRAH;Elevage_Evenement 1_ Une (01) personne ou plus atteintes de fièvre et de toux sévère (absentéisme ou hospitalisation);wZnDKi2w6ke;;;;;;;;;;;Formulaire de notification de maladie;TdsU2XfEig0;;;ONEHEALTH;Elevage_Evenement 1_ Une (01) personne ou plus atteintes de fièvre et de toux sévère (absentéisme ou hospitalisation);I7Jm4ncvQ4J;;;;;;;;;;;;
5;MAJ initial;QUOTIDIEN;RESUREPMRAH;Elevage_Evenement 10_ Décès ou maladies inexpliqués de plusieurs personnes d’une même concession ou d’une même communauté suite à la consommation d’aliments;tnj3LXmhkME;;;;;;;;;;;Formulaire de notification de maladie;TdsU2XfEig0;;;ONEHEALTH;Elevage_Evenement 10_ Décès ou maladies inexpliqués de plusieurs personnes d’une même concession ou d’une même communauté suite à la consommation d’aliments;JRohIz2GMzO;;;;;;;;;;;;
