description;fis_indicateur;fis_description;fis_id;fis_groupe;fis_key;dhis_dataElementName;dhis_dataElementId;dhis_categorieComboName;dhis_categorieComboId;dhis_categorieComboOptionName;dhis_categorieComboOptionId
;;II.2.4.Actes (consultations);153;quantite_cout;;I.2.3. ACTES CONSULTATION_ACCOUCHEMENT_INTERVENTION_OBSTETRICALES;HWni6oxix39;Quantite_Cout;UMaU0DHlm3l;;
;;II.2.5.Mise en observation/Hospitalisation;154;quantite_cout;;I.2.4. ACCOUCHEMENT HOSPITALISATION/MISE EN OBSERVATION ACCOUCHEMENT;GGj1rTezVkm;Quantite_Cout;UMaU0DHlm3l;;
;;II.2.3.Examens complémentaires;152;quantite_cout;;I.2.5. EXAMENS COMPLEMENTAIRES ACCOUCHEMENT;treytA0cihL;Quantite_Cout;UMaU0DHlm3l;;
;;Soins préventifs;34;quantite_cout;;II.1.1. SOINS PREVENTIFS GROSSESSE;wH8wwOjLuWn;Quantite_Cout;UMaU0DHlm3l;;
;;Soins curatifs en ambulatoire;35;quantite_cout;;II.1.2. SOINS CURATIFS EN AMBULATOIRE GROSSESSE;W9RA9p4esbn;Quantite_Cout;UMaU0DHlm3l;;
;;Soins curatifs en interne (hospitalisation ou mise en observation);36;quantite_cout;;II.1.3. SOINS CURATIFS EN INTERNE HOSPITALISATION OU MISE EN OBSERVATION GROSSESSE;HvpFmo9uYaQ;Quantite_Cout;UMaU0DHlm3l;;
;;I.2.1.Carburant évacuation;140;quantite_cout;;II.2.1. CARBURANT EVACUATION GROSSESSE;YkBq4PRnLQO;Quantite_Cout;UMaU0DHlm3l;;
;;I.2.2.Montant total des médicaments et consommables médicaux;141;quantite_cout;;II.2.2. MONTANT TOTAL DES MEDICAMENTS GROSSESSE;f7MEjWMvfWa;Quantite_Cout;UMaU0DHlm3l;;
;;I.2.4.Actes (consultations);143;quantite_cout;;II.2.3. ACTES CONSULTATION_ACCOUCHEMENT_INTERVENTION GROSSESSE;P3bkU5bGGhU;Quantite_Cout;UMaU0DHlm3l;;
;;I.2.5.Mise en observation/Hospitalisation;144;quantite_cout;;II.2.4. HOSPITALISATION/MISE EN OBSERVATION GROSSESSE;SzvzKYAuVGk;Quantite_Cout;UMaU0DHlm3l;;
;;I.2.3.Examens complémentaires;142;quantite_cout;;II.2.5. EXAMENS COMPLEMENTAIRES GROSSESSE;alThHtLWpM6;Quantite_Cout;UMaU0DHlm3l;;
;;Ligature des trompes;22;quantite_cout;;III.1.1. LIGATURE DES TROMPES PF;aWeJSDEnTBu;Quantite_Cout;UMaU0DHlm3l;;
;;Sayana Press;29;quantite_cout;;III.1.10. SAYANA PRESS PF;KnG0D59pT9h;Quantite_Cout;UMaU0DHlm3l;;
;;Pilule;30;quantite_cout;;III.1.11. PILULE PF;AK5b6ermOdI;Quantite_Cout;UMaU0DHlm3l;;
;;Condom masculin;31;quantite_cout;;III.1.12. CONDOM MASCULIN PF;m5nUTyDn0jc;Quantite_Cout;UMaU0DHlm3l;;
;;Condom féminin;32;quantite_cout;;III.1.13. CONDOM FEMININ PF;RDBwcoqxZoP;Quantite_Cout;UMaU0DHlm3l;;
;;Collier;33;quantite_cout;;III.1.14. COLLIER PF;k8MYymX0LDF;Quantite_Cout;UMaU0DHlm3l;;
;;Vasectomie;23;quantite_cout;;III.1.2. VASECTOMIE PF;N4IYjsBVk1Z;Quantite_Cout;UMaU0DHlm3l;;
;;DIU insertion ou retrait;25;quantite_cout;;III.1.3. DIU INSERTION OU RETRAIT PF;bIuRc0t7VKU;Quantite_Cout;UMaU0DHlm3l;;
;;Implant 5 ans insertion ou retrait;26;quantite_cout;;III.1.4. IMPLANT 5 ANS INSERTION OU RETRAIT PF;qFsddqNT8SR;Quantite_Cout;UMaU0DHlm3l;;
;;Implant 3 ans insertion ou retrait;27;quantite_cout;;III.1.5. IMPLANT 3 ANS INSERTION OU RETRAIT PF;ey5T5fX5HaR;Quantite_Cout;UMaU0DHlm3l;;
;;Depo-Provera;28;quantite_cout;;III.1.9. DEPO-PROVERA PF;gIPzhdHCt2E;Quantite_Cout;UMaU0DHlm3l;;
;;V.2.2.Montant total des médicaments et consommables médicaux;161;quantite_cout;;III.2.1. MONTANT TOTAL DES MEDICAMENTS ET CONSOMMABLES MEDICAUX PF;SqSq6duOBuc;Quantite_Cout;UMaU0DHlm3l;;
;;V.2.3.Examens complémentaires;162;quantite_cout;;III.2.2. EXAMENS COMPLEMENTAIRES PF;kgwsTITsUzy;Quantite_Cout;UMaU0DHlm3l;;
;;V.2.4.Actes (consultations);163;quantite_cout;;III.2.3. ACTES PF;tss1eVyOJjH;Quantite_Cout;UMaU0DHlm3l;;
;;V.2.1.Carburant évacuation;160;quantite_cout;;III.2.4. CARBURANT SI EVACUATION PF;lAqsZNzpmDX;Quantite_Cout;UMaU0DHlm3l;;
;;Soins curatifs en ambulatoire;20;quantite_cout;;IV.1.1. SOINS CURATIFS EN AMBULATOIRE ENFANTS;InGas9oaZSN;Quantite_Cout;UMaU0DHlm3l;;
;;Soins curatifs en hospitalisation;21;quantite_cout;;IV.1.2. SOINS CURATIFS EN HOSPITALISATION/MISE EN OBSERVATION ENFANTS;oRFOXKPOKOn;Quantite_Cout;UMaU0DHlm3l;;
;;IV.2.1.Carburant évacuation;155;quantite_cout;;IV.2.1. CARBURANT EVACUATION ENFANTS;iFD7tnorZlt;Quantite_Cout;UMaU0DHlm3l;;
;;IV.2.2.Montant total des médicaments et consommables médicaux;156;quantite_cout;;IV.2.2. MONTANT TOTAL DES MEDICAMENTS ENFANTS;O0h8l5hpREm;Quantite_Cout;UMaU0DHlm3l;;
;;IV.2.4.Actes (consultations);158;quantite_cout;;IV.2.3. ACTES CONSULTATION_ACCOUCHEMENT_INTERVENTION ENFANTS;g74JOV7Vbnu;Quantite_Cout;UMaU0DHlm3l;;
;;IV.2.5.Mise en observation/Hospitalisation;159;quantite_cout;;IV.2.4. HOSPITALISATION/MISE EN OBSERVATION ENFANTS;AU3K2CsEPT0;Quantite_Cout;UMaU0DHlm3l;;
;;IV.2.3.Examens complémentaires;157;quantite_cout;;IV.2.5. EXAMENS COMPLEMENTAIRES ENFANTS;QoGjtjGiPVU;Quantite_Cout;UMaU0DHlm3l;;
;;IVA/IVL;16;quantite_cout;;V.1.1. IVA/IVL DEPISTAGE;W42yK7NqsGA;Quantite_Cout;UMaU0DHlm3l;;
;;Cryothérapie;17;quantite_cout;;V.1.2. CRYOTHERAPIE DEPISTAGE;XAIZKwukJRb;Quantite_Cout;UMaU0DHlm3l;;
;;Résection à l’Anse Diathermique (RAD);18;quantite_cout;;V.1.3. RESECTION A L_ANSE DIATHERMIQUE RAD DEPISTAGE;eDb3M21Cwpm;Quantite_Cout;UMaU0DHlm3l;;
;;III.2.2.Montant total des médicaments et consommables médicaux;146;quantite_cout;;V.2.1 MONTANT TOTAL DES MEDICAMENTS DEPISTAGE;J3WGodYDMPm;Quantite_Cout;UMaU0DHlm3l;;
;;III.2.4.Actes (consultations);148;quantite_cout;;V.2.2. ACTES CONSULTATIONS_HOSPITALISATION DEPISTAGE;oXOXwucJXc9;Quantite_Cout;UMaU0DHlm3l;;
;;III.2.3.Examens complémentaires;147;quantite_cout;;V.2.3. EXAMENS COMPLEMENTAIRES DEPISTAGE;soBSH0ujCXj;Quantite_Cout;UMaU0DHlm3l;;
